Facility,MP Name,Source Type,Current Use Five Year Average (MGY),Enddate,Latitude,Longitude
Perdue Farms Incorporated,P-#3,Well,172.30,2016,37.74169444,-75.65580556
"Tyson Farms, Inc.",#2,Well,57.32,2016,37.88452778,-75.55897222
WOODBERRY FOREST SCHOOL,Robertson Lake,Surface Water Intake,13.31,2016,38.2868395,-78.13062693
"Colonial Beach, Town of",Robin Grove Well No 2,Well,0.00,2016,38.24173887,-76.96361393
Independence Golf Club,Maintenance,Well,0.40,2016,,
Edgwater Farm,Well #1,Well,0.00,2016,,
"McFarland Cascade Holdings, Inc.",Scales #7,Well,0.00,2016,99,-99
Pohick Bay Park & Golf Course,barn well,Well,7.00,2016,38.6794986,-77.2039307
AMHERST COUNTY SERVICE AREA - LANUM WTP,Tertiary - James River (emergency only),Surface Water Intake,0.00,2016,37.4768,-79.19573333
AMHERST COUNTY SERVICE AREA - LANUM WTP,Secondary - Graham Creek Reservoir,Surface Water Intake,226.59,2016,37.49003333,-79.16641389
AMHERST COUNTY SERVICE AREA - LANUM WTP,Primary - Harris Creek,Surface Water Intake,176.71,2016,37.48509167,-79.16669167
AL Mathews,"Byrd Foods,Inc",Well,0.00,2015,37.85097222,-75.56783333
Wes Powers,Well #2,Well,0.00,2015,37.74527778,-75.6645
Lang Farm,Well #4,Well,0.00,2015,37.723,-75.61602778
Lang Farm,Well #2,Well,0.00,2014,37.72144444,-75.61833333
Kelley Farm,Kelley Farm,Well,0.00,2014,37.74491611,-75.60525
Kelley Farm,Kelley Farm,Well,0.00,2014,37.74533333,-75.60475278
"McFarland Cascade Holdings, Inc.",Fiberglass #6,Well,0.58,2016,99,-99
Thousand Trails (Chesapeake Bay Rv Resort),Well #2,Well,0.00,2014,37.54370278,-76.52605556
Suffolk Main System (G.ROBERT HOUSE WTP),Reids Ferry Well,Well,0.00,2015,99,-99
Daingerfield,Well 1,Well,0.00,2014,37.94548,-76.875541
Gwynnfield Subdivision,#2,Well,3.36,2016,37.971401,-76.894065
Lively Public Water System,#1,Well,1.02,2016,37.778579,-76.513224
Irvington,East #1 - Out of Service,Well,0.23,2014,37.655906,-76.420339
Nomini Bay Farms,#1A,Well,0.17,2016,38.126633,-76.731075
Cedar Pointe,#1A,Well,0.96,2016,37.663987,-76.594202
Callao Public Water System,#2,Well,2.87,2016,37.962278,-76.563517
Callao Public Water System,#1,Well,1.25,2016,37.968817,-76.557525
DAN HALL MOUNTAIN,Well #1,Well,0.00,2016,36.956886,-82.445342
"Quinton Oaks Golf, L.C.",Well #2,Well,0.00,2016,37.939659,-76.577539
"Quinton Oaks Golf, L.C.",Well #1,Well,0.00,2016,37.939649,-76.577435
Belmont Country Club,Ashburn Road Well,Well,10.00,2016,39.059936,-77.497247
Bush Park Mobile Home Park,Well Number 4,Well,0.00,2016,,
Shimokin Farm  R. Randolph & Sons,Pamunkey River SK4 25AC,Surface Water Intake,2.00,2016,37.61805,-77.10166
Courthouse CWS,Purkins Corner,Well,0.00,2016,38.259903,-77.163922
Courthouse CWS,Peppermill #2,Well,0.00,2016,38.315453,-77.132347
Surry County Educational Complex,Ballfield Well,Well,0.00,2016,37.07822,-76.90375
Oakland Park,Oakland Park I (Abandoned),Well,0.00,2016,38.28973611,-77.32282222
Walkerton Service Area,Well #2,Well,2.10,2016,37.7279,-77.0233
Oakland Park,Sealston,Well,0.00,2016,38.26468056,-77.33046111
Courthouse CWS,Arnolds Corner 1A,Well,0.00,2016,38.274972,-77.20485
Dublin Farms Inc.,FARM POND  8  POP GROVE/PRKR,Surface Water Intake,28.02,2016,37.9525,-75.48361111
Dublin Farms Inc.,FARM POND  7  DAVIS,Surface Water Intake,16.66,2016,38.00055556,-75.52888889
Dublin Farms Inc.,FARM POND  6  MADDOX,Surface Water Intake,46.22,2016,37.94694444,-75.49555556
Dublin Farms Inc.,FARM POND  5  DUBLIN 2,Well,99.18,2016,37.96,-75.46583333
Dublin Farms Inc.,FARM POND 10 BALDTRIP,Surface Water Intake,18.48,2016,37.95583333,-75.48638889
Dublin Farms Inc.,DUG POND 11 PIERCE TAYLOR,Surface Water Intake,76.22,2016,37.84,-75.52638889
WEST POINT PLANT,19TH STREET WELL (REPLACEMENT WELL),Well,0.00,2016,37.541292,-76.801937
Fort A. P. Hill Water System,HETH WELL  PWAT07A,Well,0.03,2016,38.21277778,-77.35
Fort A. P. Hill Water System,DROP ZONE WELL #2  PWAT38,Well,0.44,2016,38.14666667,-77.35444444
NOKESVILLE SERVICE AREA,WELL #2,Well,2.26,2016,38.6625,-77.58388889
LEE HALL WTP AND ROF,BGD WELL #3B,Well,0.18,2016,37.16638889,-76.55416667
LEE HALL WTP AND ROF,BGD WELL #3,Well,44.88,2016,37.16666667,-76.55416667
HIGH KNOB,SPRING #3,Surface Water Intake,0.06,2016,38.89277813,-78.1209286
ELIZABETH MANOR GOLF CLUB,WELL 220-059,Well,2.15,2016,36.81555556,-76.39083333
"SAUNDERS BROTHERS, INC.",ALLEN CREEK B - Massie Creek,Surface Water Intake,28.79,2016,37.73666667,-79.03722222
LOWER BROAD RUN SERVICE AREA,LENAH RUN  LFW-B1,Well,10.02,2014,38.95111111,-77.58555556
"KESWICK ESTATES UTILITIES, LLC",WELL #1,Well,6.54,2016,38.000386,-78.342375
INDEPENDENCE SERVICE AREA,REEVES WELL,Well,15.58,2016,36.63888889,-81.16527778
INDEPENDENCE SERVICE AREA,PARSON'S WELL,Well,7.38,2016,36.62388889,-81.15694444
BULL RUN SERVICE AREA,WELL #11,Well,11.31,2016,38.89638889,-77.66972222
Belmont Country Club,#13 Well,Well,6.33,2016,39.059936,-77.497247
Belmont Country Club,#14 Well,Well,0.00,2016,39.059936,-77.497247
Bedford County Country Club,Spring-fed Pond,Surface Water Intake,5.43,2016,37.3767,-79.539122
Ashley Plantation Country Club,#4 Pond,Surface Water Intake,3.25,2016,37.425978,-79.903886
Briery Country Club,Lake,Surface Water Intake,0.07,2016,37.07595,-78.4798
Ashley Plantation Country Club,220 Pump,Surface Water Intake,22.65,2016,37.437139,-79.902736
PAINTER COMPLEX,Painter Apartment #5,Well,0.00,2016,99,-99
DUFFIELD WTP,SPURLOCK BRANCH,Surface Water Intake,0.00,2016,36.71722,-82.7944
MOSS NO. 3 PREPARATION PLANT,CHANEY CREEK,Surface Water Intake,0.00,2016,36.94638889,-82.19666667
CANA SERVICE AREA,WELL #2,Well,95.17,2016,36.61166667,-80.68333333
BLAND SERVICE AREA,WELL #2,Well,6.33,2016,0.1,0
BIG ROCK NO.  7 PREP PLANT,DEEP WELL #2,Well,0.00,2016,37.35138889,-82.18638889
SPRING HILL FARM,FARM POND SYSTEM #1  200A,Surface Water Intake,73.12,2016,0.1,0
MERRIMAC-MIDWAY SERVICE AREA,Well #3,Well,4.76,2016,37.05805556,-80.44166667
COUNTRY CLUB OF VIRGINIA,Tuckahoe Creek Pump House,Surface Water Intake,21.08,2016,,
VINTON SERVICE AREA,SPRING GROVE WELL,Well,4.64,2016,37.27611111,-79.87027778
BIG ROCK NO.  7 PREP PLANT,LEVISA FORK,Surface Water Intake,0.00,2016,37.35222222,-82.18805556
Lake Kilby Water Treatment Facility,LAKE MEADE PITCHKETTLE PUMP ST,Surface Water Intake,525.51,2016,36.73194444,-76.60472222
BIG ROCK NO.  7 PREP PLANT,DEEP WELL #3,Well,17.45,2016,37.35277778,-82.18666667
SHENANDOAH BREWERY ,WELL #6,Well,59.48,2016,38.360856,-78.683086
RED MILL FARM,SOUTH RIVER  20 AC,Surface Water Intake,0.37,2016,38.1775,-78.85305556
RED MILL FARM,SOUTH RIVER  PASTURE,Surface Water Intake,24.16,2016,38.1775,-78.85305556
Lake Kilby Water Treatment Facility,PORTSMOUTH WELL #3A,Well,9.44,2016,36.74777778,-76.58722222
Dublin Farms Inc.,FARM POND  9  NEW LAND,Surface Water Intake,54.44,2016,37.98666667,-75.46
ELEANOR BULL LANDERSON,WELL #1,Well,0.00,2016,37.34861111,-75.96944444
Strange's Garden Center W. Broad St.,Well,Well,1.40,2016,37.657,-77.634
HARTLAND INSTITUTE,Well #2,Well,0.00,2016,0,0
SMALL SYSTEMS,Columbia Well 2,Well,1.14,2016,99,-99
SMALL SYSTEMS,COBBS SHORE WELL #1,Well,0.90,2016,-99,-99
SMALL SYSTEMS,BLACK CREEK WELL #1,Well,0.77,2016,-99,-99
SMALL SYSTEMS,DAINGERFIELD WELL #1,Well,0.87,2016,-99,-99
HOPEWELL PLANT,SOUTH WELL #3,Well,22.00,2016,37.35416667,-77.28805556
GOLD LEAF FARMS INC,Farm Pond 4 Spring Garden,Surface Water Intake,0.22,2016,99,-99
Somerset,WELL  SD-96-141,Well,0.00,2016,38.3820923,-77.7555839
Somerset,POND #10 Fairway/Green,Surface Water Intake,0.00,2016,-99,-99
HIGH KNOB,"SPRING #4, #5, #6",Surface Water Intake,3.68,2016,38.89375486,-78.11102083
CHRISTIAN/AMES FARM,CAMP FARM HOUSE WELL,Well,0.04,2016,0,0
PAINTER FARM,PAINTER FARM WELL #3,Well,0.00,2016,0,0
SOUTHAMPTON PLANT,DRINKING WATER WELL,Well,0.00,2016,0,0
Townfield,Bagget Well,Well,0.00,2015,0,0
SYDNOR - CEDAR CREST,WELL #2,Well,0.00,2015,37.71835278,-77.17773889
Somerset,WELL  SD-96-138,Well,0.00,2016,38.3820923,-77.7555839
SYDNOR - CEDAR CREST,WELL #1,Well,0.97,2015,-99,-99
Chantilly Plant,Groundwater Well,Well,2.28,2016,38.9241,-77.4971
CREEK RUN FARM,Hamilton Branch/Deerfield Spring,Surface Water Intake,3.20,2016,38.18307813,-79.39632915
Overlook 3 - Cave,Well 3 ,Well,0.00,2016,38.4624,-78.04301
CHRISTIAN/AMES FARM,LABOR CAMP BUMBLE BEE WELL,Well,0.02,2016,0,0
ALTAVISTA PLANT,WELL #2,Well,0.03,2016,37.13166667,-79.26916667
WINDMERE POINT,WELL #2,Well,0.00,2016,-99,99
Princess Anne Athletic Complex,Well 3,Well,0.00,2016,36.76437875,-76.10297003
GRAINFIELD FARM,Pamunkey River- GF1,Surface Water Intake,4.13,2016,37.70033,-77.248406
Roxbury Industrial Center,Well,Well,1.61,2016,37.4559812,-77.1433932
COVE COLONY SERVICE AREA,WELL,Well,0.72,2016,37.68944444,-76.4925
Marshall-Johnson-Grapeland Complex,WELL #2,Well,0.00,2014,0.1,0
OAKWOOD SERVICE AREA,OAKWOOD / PARKVIEW WELL #5,Well,5.47,2016,-99,-99
FOXWELLS SERVICE AREA,Well 2,Well,1.60,2015,37.6238,-76.3248
SYDNOR - small well systems,LEE DALE SHORES,Well,0.00,2016,-99,-99
SYDNOR - small well systems,COVES AT WILTON CREEK #4,Well,0.00,2016,-99,-99
SYDNOR - small well systems,COVES AT WILTON CREEK #3,Well,0.00,2016,-99,-99
SYDNOR - small well systems,COVES AT WILTON CREEK #1,Well,0.00,2016,-99,-99
APPLE TREE VILLAGE S3/STEEPLEC,HIGHLAND MANOR-1\APPLE TREE,Well,0.00,2016,-99,-99
"SAUNDERS BROTHERS, INC.",Cub Creek Well #2,Well,1.38,2016,37.83146549,-78.99428465
FALLING RIVER COUNTRY CLUB,UPPER LAKE,Surface Water Intake,5.70,2016,37.33527778,-78.87444444
MARION SERVICE AREA,TOWN SPRING,Surface Water Intake,519.31,2016,36.8225,-81.48333333
MILL QUARTER PLANTATION,MILL QUARTER WELL #1,Well,1.91,2016,37.49666667,-77.91861111
LIVELY SERVICE AREA,WELL #2,Well,2.92,2015,37.77833333,-76.51333333
GLENVAR EAST SERVICE AREA,GREEN HILL PARK WELL,Well,0.00,2016,99,-99
DEAN HICKMAN,WELL,Well,0.00,2016,0.1,0
BLACKWATER HOG FARM,WELL #1,Well,0.00,2015,0.1,0
WOLF TRAP NURSERY,WELL,Well,0.00,2015,0.1,0
ROBERT E NUCKOLS,FARM POND,Surface Water Intake,0.00,2016,0.1,0
HARVEY WOOD & SON,FARM POND,Surface Water Intake,0.00,2016,0.1,0
Bredimus Farm,Well #2,Well,0.00,2015,99,-99
WHITES NURSERY,WELL????,Well,0.00,2015,0.1,0
Wessells Farm,FARM POND,Surface Water Intake,0.00,2016,37.795,-75.5525
BYRDLANKFORD FARM,WELL #2,Well,0.00,2016,37.84222222,-75.59333333
Foxhill Farms,FARM POND,Surface Water Intake,10.12,2016,36.69,-77.2
WAYNE C BARNES,FARM POND,Surface Water Intake,0.00,2012,0.1,0
Van Kesteren Farms Incorporated,OATLANDS POND,Surface Water Intake,0.00,2016,99,-99
CARROLL COUNTY REGIONAL,WILSON WELL #2,Well,0.00,2016,36,-80
GOLD LEAF FARMS INC,FARM POND 1 (Towler Farm),Surface Water Intake,0.36,2016,0.1,0
RANDOLPH P COLLINS,FARM POND #1  TO 5 ACRES,Surface Water Intake,0.00,2016,36.79388889,-79.65472222
SMITH TURF FARM,BULL RUN,Surface Water Intake,0.00,2016,0.1,0
CORBIN HALL FARM,FARM POND,Surface Water Intake,63.80,2016,0.1,0
JAMES L. WILL AND SONS,MOSSY CREEK,Surface Water Intake,1.20,2016,38.36666667,-79.02083333
MARLE HILL SERVICE AREA,WELL #29,Well,2.09,2016,37.72861111,-77.14277778
THE CROSSINGS GOLF COURSE,BUCK'S POND,Surface Water Intake,9.22,2016,37.65694444,-77.43972222
ACCOMAC  PLANT,WELL #1,Well,36.16,2016,37.73555556,-75.64972222
LANG,LANG WELL #1,Well,0.00,2016,37.72083333,-75.61861111
GOLDEN CAT DIVISION,WELL,Well,8.29,2016,37.71722222,-77.12138889
EMERSON BROTHERS,STREAM NAME   ??? 25 A. FIELD,Surface Water Intake,0.00,2016,0.1,0
Heritage Point Water Works,WELL #2,Well,0.00,2016,37.7125,-76.52027778
THOMAS L KEATTS,FARM POND,Surface Water Intake,0.00,2016,36.56944444,-79.62166667
GOSHEN FARM,WELL #2,Well,0.00,2015,37.74222222,-75.59388889
Weaver Farm,FRONT POND (#1),Surface Water Intake,0.00,2016,37.68972222,-75.7375
CHILHOWIE SERVICE AREA,JONES SPRING,Surface Water Intake,0.00,2016,36.72388889,-81.65361111
CAVE VIEW FARMS INC,Wells,Well,0.00,2016,38.284255,-78.902168
HAMPDEN SYDNEY COLLEGE,WELL #2,Well,2.97,2016,37.24,-78.46083333
SMALL SYSTEMS,MALLARD BAY WELL #1,Well,1.77,2016,-99,-99
SMALL SYSTEMS,SWOVER CR WELL 2    4 CUSTMRS,Well,0.00,2016,-99,-99
SMALL SYSTEMS,MILLER'S SQUARE WELL #1,Well,0.88,2016,-99,-99
OAKWOOD SERVICE AREA,OAKWOOD / PARKVIEW WELL #2,Well,7.92,2016,-99,-99
SMALL SYSTEMS,WICOMICO RIDGE WELL #1,Well,0.40,2016,-99,-99
SMALL SYSTEMS,CORBIN LEWIS WELL #1,Well,0.95,2016,-99,-99
NOTTOWAY FARMS,Nottoway River,Surface Water Intake,0.62,2016,0.1,0
INGLESIDE PLANTATION NURSERIES,DODDS POND,Surface Water Intake,0.00,2016,0.1,0
TICONDEROGA FARMS,HILLTOP POND,Surface Water Intake,0.00,2016,0.1,0
Midwood Farm,FARM POND - KELLAM,Surface Water Intake,0.00,2016,0.1,0
ENFIELD SOD - ENFIELD FARM,MATTAPONI RIVER BY MILL DAM B,Surface Water Intake,6.80,2016,37.72194444,-77.02527778
Greenbrier Farms Nursery,WATERS FARM POND,Surface Water Intake,0.00,2016,36.63722222,-76.22277778
WILLIAM BAIN FARMS @ Margaret Bain Property,"FARM POND @ Margaret Bain property, 23310 Jones Rd, Stony Creek VA",Surface Water Intake,0.00,2016,36.95143,-77.55567
"Lake Packing Company, Inc.- Processing",UPPER PLACE WELL #6     330',Well,0.00,2016,37.9727113,-76.4705415
Bevans Oyster Company,WELL #3-Bay Shell,Well,7.49,2016,38.04953,-76.54983
Fort A. P. Hill Water System,WILCOX STP  PWAT41,Well,0.09,2016,38.10444444,-77.27972222
Princess Anne Athletic Complex,Well 1,Well,0.00,2016,36.76507761,-76.10283846
PEACOCK HILL SUBDIVISION,WELL #4,Well,0.00,2016,38.03888889,-78.64166667
Kluis Nurseries,WELL,Well,0.00,2015,37.68333333,-75.75
KMX CHEMICAL CORP,WELL #2  100-365,Well,0.06,2016,37.97722222,-75.53833333
Shimokin Farm  R. Randolph & Sons,PAMUNKEY RIVER   SK3  80 ACRES,Surface Water Intake,9.00,2016,37.61805556,-77.10166667
WAYNESBORO NURSERIES,GREEN HOUSE WELLS,Well,0.00,2016,38.03807276,-78.94905033
"Lake Packing Company, Inc.- Wastewater Irrigation",BLACKWELLS POND,Surface Water Intake,0.00,2016,37.95944444,-76.50333333
WALLOPS ISLAND MAIN STATION,WELL #1,Well,1.04,2016,37.93444444,-75.47055556
MAPPSVILLE PLANT,100-843,Well,0.00,2016,37.85611111,-75.55777778
Bath County Regional Water System,HIGH SCHOOL WELL #1,Well,4.32,2016,37.95444444,-79.91888889
WALLOPS ISLAND MAIN STATION,WELL #5,Well,18.17,2016,37.93916667,-75.48055556
Shimokin Farm  R. Randolph & Sons,PAMUNKEY RIVER   SK3  30 ACRES,Surface Water Intake,2.79,2016,37.61805556,-77.10166667
BETHEL CHURCH,BETHEL CHURCH WELL UNTIL METER,Well,0.00,2016,37.84944444,-75.5975
KING GEORGE COUNTY WELL SYSTEM,CANTERBURY WELL #1,Well,1.99,2016,38.24277778,-77.12416667
BAY CREEK RESORT & CLUB,Lake 7,Surface Water Intake,0.00,2014,37.25706944,-76.00693056
I-64 C'Ville West,ALB West Bound-10036,Well,0.16,2016,38.034933,-78.629306
CLIFTON FORGE MOUNTAIN SA,CLIFTON FORGE MTN WELL,Well,7.12,2016,37.89861111,-79.88083333
MAPPSVILLE PLANT,HOUSING WELL #4,Well,0.02,2016,37.83638889,-75.58166667
DRUMMOND FARM,WELL #4,Well,0.00,2016,37.87194444,-75.57777778
BETHEL CHURCH,BETHEL CHURCH WELL #2,Well,0.00,2016,37.84944444,-75.5975
Bevans Oyster Company,WELL #1-Office,Well,0.77,2016,38.05022768,-76.5500017
MAPPSVILLE PLANT,PRODUCTION WELL #6,Well,0.00,2016,37.85277778,-75.55888889
ED GOIN,GOIN WELL #3,Well,0.00,2016,37.82055556,-75.61583333
MAPPSVILLE PLANT,HOUSING WELL #10,Well,0.02,2016,37.83694444,-75.58305556
MAPPSVILLE PLANT,HOUSING WELL #9,Well,0.03,2016,37.83694444,-75.58305556
BYRDLANKFORD FARM,DUG POND,Well,0.00,2016,37.8425,-75.59305556
RIVER BEND FARM,MIDDLE RIVER,Surface Water Intake,19.80,2016,38.22638889,-78.90833333
CULPEPER SERVICE AREAS,NORTHTOWN VILLAGE WELL #1,Well,0.51,2016,38.58527778,-78.05694444
MANAKIN FARMS SERVICE AREA,WELL #10,Well,4.88,2016,0.1,0
BURNSIDE FARMS SERVICE AREA,WELL #1,Well,0.00,2016,37.6275,-77.39638889
ALGONKIAN REGIONAL PARK,Potomac River,Surface Water Intake,0.00,2016,39.0625,-77.375
GWYNNFIELD SERVICE AREA,WELL #2,Well,3.32,2015,37.97083333,-76.89722222
LAKE SHAWNEE SERVICE AREA,WELL #2A,Well,0.69,2016,37.53305556,-77.815
Mayhew Farm,Broad Run #2,Surface Water Intake,8.82,2016,99,-99
SMALL SYSTEMS,MASSENUTTEN VIEW WELL #2A,Well,1.19,2016,38.828386,-78.579575
EASTWOOD SERVICE AREA,EASTWOOD WELL #3,Well,2.06,2016,36.6430252,-79.8104753
5103,FARM POND,Surface Water Intake,20.92,2016,37.7825,-77.458333
TAYLOR & FULTON FARMS INC,WELL #2,Well,0.00,2016,37.82944444,-75.61305556
Taylor & Fulton Inc.,WELL #1,Well,0.00,2016,37.79472222,-75.55361111
"Stoney Run Farms, Inc.",Wells #1 & #2 Fred & Jeff,Well,40.00,2016,38.3390095,-78.7241612
OAK SPRINGS Subdivision,OAK SPRINGS WELL #1,Well,4.68,2013,37.77388889,-77.13861111
FORK UNION SERVICE AREA,MORRIS WELL #2,Well,0.00,2016,37.78083333,-78.27111111
SOUTH HILL BANKS SERVICE AREA,WELL #28    INLET,Well,0.23,2016,37.75833333,-76.71888889
Castle Rock Golf & Recreation,New River,Surface Water Intake,0.00,2016,37.309575,-80.645544
ASHLAND WTP,SOUTH ANNA RIVER,Surface Water Intake,0.00,2016,37.79444444,-77.54972222
HICKORY HILL,HICKORY HILL WELL #1,Well,0.00,2016,37.75361111,-75.66388889
Glenwood Mobile Home Park,WELL #1  GLENWOOD MHP,Well,6.06,2016,38.22638889,-77.49583333
COLONIAL WILLIAMSBURG HOTEL,WELL H (PALACE),Well,6.59,2016,37.27333333,-76.70166667
Taylor & Fulton Inc.,WELL #3,Well,0.00,2016,37.74527778,-75.60472222
TROUTVILLE SERVICE AREA,WELL #1,Well,36.05,2016,37.41916667,-79.87611111
MANAKIN FARMS SERVICE AREA,WELL #7,Well,3.74,2016,37.60416667,-77.71666667
LUMBER HALL FARM,WELL BK9,Well,1.08,2016,37.51333333,-75.83583333
LUMBER HALL FARM,WELL BK7,Well,2.04,2016,37.51305556,-75.83944444
CAPRON SERVICE AREA,WELL #2,Well,4.85,2016,36.71083333,-77.19972222
WOODHAVEN SHORES SERVICE AREA,WELL #2  BIRCH ROAD,Well,1.48,2016,37.495,-77.12416667
LUMBER HALL FARM,WELL HILL B,Well,0.62,2016,37.51527778,-75.83472222
LUMBER HALL FARM,WELL GLB,Well,0.00,2016,37.515,-75.83888889
BAY CREEK RESORT & CLUB,Lake 3,Surface Water Intake,15.80,2016,37.24400556,-76.01283889
TURNER FARM,TURNER FARM WELL,Well,0.00,2016,37.50027778,-75.87555556
MOUNT WARREN (CUSTIS) FARM,WELL #1,Well,0.00,2016,37.48786111,-5.83830556
VA LANDING-RV CAMPGROUND,WELL 100-965   MANAGER'S HOUSE,Well,0.00,2016,37.48722222,-75.78861111
SYDNOR - small well systems,GLOUCESTER - PEASLEY MIDL SCH,Well,0.00,2016,0.1,0
VA LANDING-RV CAMPGROUND,WELL 100-439,Well,3.02,2016,37.47888889,-75.795
JAMES CITY SERVICE AREA,RACEFIELD WELL  W-29 #2,Well,1.00,2016,37.42666667,-76.85111111
JAMES CITY SERVICE AREA,STONEHOUSE WELL W-26 #1,Well,71.24,2016,37.42416667,-76.82
JAMES CITY SERVICE AREA,STONEHOUSE WELL W-26 #2,Well,11.56,2016,37.42416667,-76.82
EASTVILLE SERVICE AREA,WELL 165-445 BACKUP WELL,Well,0.04,2016,37.35472222,-75.94444444
William Hughes Apartments,WELL 7G UNITS 701-04,Well,0.21,2016,37.36,-75.9325
William Hughes Apartments,WELL 6F UNITS 601-04 M-3911222,Well,0.07,2016,37.36,-75.93222222
CHERITON PLANT,WELL #1 AND #2  1 METER,Well,0.00,2016,37.28638889,-75.925
JAMES CITY SERVICE AREA,POTTERY WELL    W-4 #3,Well,1.40,2016,37.34722222,-76.75833333
JAMES CITY SERVICE AREA,WINDSOR FOREST   W-7,Well,0.00,2016,37.31027778,-76.75888889
GERALD B WILLIAMS,DITTERS FORK CREEK,Surface Water Intake,0.00,2016,0.1,0
"Lake Packing Company, Inc.- Processing",WELL #3-A FACTORY 660',Well,5.23,2016,37.97222222,-76.46916667
JAMES CITY SERVICE AREA,OLDE TOWNE RD  W-6 #2,Well,16.40,2016,37.31416667,-76.74722222
Red Oaks Mobile Community,WELL #2,Well,0.00,2015,36.94333333,-76.59666667
SYDNOR - small well systems,JACKSON CREEK CONDOS,Well,0.00,2016,0.1,0
SUSSEX COUNTY FARMS,FARM 20 WELL 20-2,Well,0.00,2016,36.98916667,-77.19361111
HOPEWELL PLANT,JAMES RIVER,Surface Water Intake,5854.94,2016,37.30361111,-77.26611111
Brink Concentrator Site System,RDM-14,Well,0.10,2016,36.65205,-77.61507
BLACKWATER HOG FARM,WELL #5,Well,0.00,2016,0.1,0
EMERSON BROTHERS,STREAM NAME  ??  22.5 A. FIELD,Surface Water Intake,0.00,2016,0.1,0
HANOVER CO COURTHOUSE COMPLEX,HANOVER COURTHOUSE WELL #4,Well,5.09,2016,37.75611111,-77.34861111
PEACH ORCHARD FARM,PEACH ORCHARD FARM WELL #3,Well,0.00,2016,37.71416667,-75.65583333
PERRY MINNOW FARM,WELL #1,Well,15.95,2016,36.78888889,-76.69111111
#5331,GRHSE #1 WELL,Well,0.09,2016,37.71611111,-75.68666667
LOVINGSTON SERVICE AREA,RAINBOW #2,Well,5.36,2016,37.7025,-78.92333333
PEACH ORCHARD FARM,PEACH ORCHARD FARM WELL #2,Well,0.00,2016,37.71527778,-75.65472222
WEAVER FARM,WELL #1,Well,0.00,2016,37.68861111,-75.73805556
INDIAN CREEK Y & C CLUB,WELL #1,Well,0.00,2012,37.70277778,-76.34638889
BURTON FARM,POND #1,Well,0.00,2016,37.69527778,-75.68111111
BURTON FARM,WELL #2,Well,0.00,2016,37.69527778,-75.68083333
BURTON FARM,WELL #1,Well,0.00,2016,37.695,-75.68111111
AMES FARM,WELL #3,Well,0.30,2016,37.68222222,-75.68777778
MIDDLETON FARM,WELL #1,Well,1.93,2016,37.67972222,-75.69805556
MIDDLETON FARM,WELL #4,Well,0.49,2016,37.68055556,-75.69722222
MIDDLETON FARM,WELL #3,Well,1.38,2016,37.6825,-75.70111111
ST. BRIDES CORRECTIONAL CENTER,WELL #3,Well,30.24,2016,36.61333333,-76.18638889
Shimokin Farm  R. Randolph & Sons,PAMUNKEY RIVER   SK2  55 ACRES,Surface Water Intake,4.03,2016,37.61805556,-77.10166667
Newman South Farm,WELL #1,Well,0.00,2016,37.62166667,-75.78333333
Kuzzens KMC Camp,Old Well #1,Well,0.00,2016,37.296528,-75.957806
SYDNOR - small well systems,WELL 6,Well,0.00,2016,38.039181,-78.643944
Poplar Grove Golf Course,POND 3,Surface Water Intake,0.00,2016,37.54658,-79.041367
WEST POINT PLANT,MAGNOLIA STREET NORTH WELL,Well,410.11,2016,37.53888889,-76.81944444
WILLIAMSBURG NATIONAL GOLF CLUB,POWHATAN CREEK,Surface Water Intake,0.34,2016,37.265,-76.7875
WEST POINT PLANT,OAK STREET WELL,Well,393.44,2016,37.55083333,-76.81138889
CAVALIER GOLF & YACHT CLUB,WELL #2-PUMP HOUSE,Well,2.27,2016,36.85583333,-75.99666667
POWHATAN CH SERVICE AREA,WELL #2A,Well,22.43,2016,37.54305556,-77.91944444
GREENBRIER FARMS NURSERY,WELL SQ4,Well,0.00,2016,36.64944444,-76.22833333
SOUTHAMPTON PLANT,WELL #5,Well,0.00,2016,36.65944444,-76.9975
SOUTHAMPTON PLANT,WELL #3,Well,492.85,2016,36.65805556,-77.00694444
SOUTHAMPTON PLANT,WELL #4,Well,13.55,2016,36.65416667,-77.00333333
CHESAPEAKE PLANT,4 WELLS ONE METER,Well,0.00,2016,36.60777778,-76.20194444
SPENCERS COURT SERVICE AREA,WELL #1,Well,0.00,2016,36.6441066,-79.93781884
GREENBRIER FARMS NURSERY,WELL GB7,Well,0.00,2016,36.64166667,-76.23027778
Greenbrier Farms Nursery,SQUIRES FARM WELLS COMBINED,Well,0.00,2016,36.64916667,-76.22777778
GREENBRIER FARMS NURSERY,WELL SQ1,Well,0.00,2016,36.64916667,-76.22777778
GREENBRIER FARMS NURSERY,WELL GB8,Well,0.00,2016,36.64833333,-76.22555556
NEWSOMS SERVICE AREA,WELL #2   WATER TANK,Well,5.66,2016,36.62722222,-77.12666667
BOYKINS PLANT,NEW WELL #1,Well,7.86,2016,36.58555556,-77.20416667
Dick Cross Wildlife Management Area (WMA),ALLEN CREEK,Surface Water Intake,4.99,2016,36.61583333,-78.27416667
DAVID A MILLER,BLACKS RUN,Surface Water Intake,0.00,2016,0.1,0
WOODLAWN \ WALSINGHAM FARMS,HOUSE PUMP - WOODLAWN,Surface Water Intake,9.32,2016,38.182264,-77.153633
