BMP,Shortname,Landuse_Type,HGMR,TN,TP,BOD,SED
Commodity Cover Crop Standard-Planting Drilled Wheat,ComCovCropSDW,Hi_Till,BR_N,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Wheat,ComCovCropSDW,Hi_Till,ML_N,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Wheat,ComCovCropSDW,Hi_Till,VRSN,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Wheat,ComCovCropSDW,Low_Till,APSN,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Wheat,ComCovCropSDW,Low_Till,BR_N,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Wheat,ComCovCropSDW,Low_Till,ML_N,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Wheat,ComCovCropSDW,Low_Till,VRSN,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,CPDN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,CPDT,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,CPLN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,CPLT,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,CPUN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,CPUT,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,PCAN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,PCRN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,APCN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,VRCN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,CPDN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,CPDT,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,CPLN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,CPLT,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,CPUN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,CPUT,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,PCAN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,PCRN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,APCN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,VRCN,0.15,0,0.075,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,APSN,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,BR_N,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,ML_N,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Hi_Till,VRSN,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,APSN,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,BR_N,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,ML_N,0.11,0,0.055,0
Commodity Cover Crop Standard-Planting Drilled Barley,ComCovCropSDB,Low_Till,VRSN,0.11,0,0.055,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,CPDN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,CPDT,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,CPLN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,CPLT,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,CPUN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,CPUT,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,PCAN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,PCRN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,APCN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,VRCN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,CPDN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,CPDT,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,CPLN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,CPLT,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,CPUN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,CPUT,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,PCAN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,PCRN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,APCN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,VRCN,0.07,0,0.035,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,APSN,0.06,0,0.03,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,BR_N,0.06,0,0.03,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,ML_N,0.06,0,0.03,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Hi_Till,VRSN,0.06,0,0.03,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,APSN,0.06,0,0.03,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,BR_N,0.06,0,0.03,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,ML_N,0.06,0,0.03,0
Commodity Cover Crop Late-Planting Drilled Wheat,ComCovCropLDW,Low_Till,VRSN,0.06,0,0.03,0
